trial,fix_locus,fix_shape_family,op_order_preserved,escape_hatches,breaks_attacked,files_touched,diff_lines,turns,agent_claim,semantic_equivalence
noskill_V6_3,both,mixed,yes,none,capture_outputs;comprehension;generate_block_attention_mask;tolist_split;nonzero_boolean_indexing;torch_compilable_check;input_type_image_sizes;output_hidden_states_skip,modeling_mistral3.py;modeling_pixtral.py;baseline_mistral3.py,210,40,16->0 graph breaks (claimed but actual 11 under canonical inputs),context-equivalent
SKILL_V0_1,both,mixed,yes,none,image_sizes tensor .item();tensor cumsum .item();.tolist() split_sizes;capture_outputs ContextVar;boolean indexing nonzero;torch_compilable_check callable f-string,modeling_mistral3;modeling_pixtral;baseline_mistral3,148,50,16->0 graph breaks; fullgraph OK; max_diff 5.96e-07,context-equivalent
SKILL_V0_2,both,mixed,yes,none,image_sizes tensor .item();tensor cumsum .item();.tolist() split_sizes;boolean indexing nonzero;torch_compilable_check callable f-string,modeling_mistral3;modeling_pixtral;baseline_mistral3,91,68,16->0 graph breaks; fullgraph OK; max_diff 5.96e-07,context-equivalent
SKILL_V0_3,both,mixed,yes,none,image_sizes tensor .item();tensor cumsum .item();.tolist() split_sizes;boolean indexing nonzero;torch_compilable_check callable f-string,modeling_mistral3;modeling_pixtral;baseline_mistral3,66,46,16->0 graph breaks; 1 subgraph; max_diff 5.96e-07,context-equivalent
SKILL_V2_1,both,mixed,yes,none,image_sizes tensor .item();tensor cumsum .item();.tolist() split_sizes;capture_outputs ContextVar;boolean indexing nonzero;torch_compilable_check callable f-string,modeling_mistral3;modeling_pixtral;baseline_mistral3,158,42,16->0 graph breaks; fullgraph OK; max_diff 5.96e-07,context-equivalent
SKILL_V2_2,both,mixed,yes,none,image_sizes tensor .item();tensor cumsum .item();.tolist() split_sizes;boolean indexing nonzero;torch_compilable_check callable f-string,modeling_mistral3;modeling_pixtral;baseline_mistral3,89,67,16->0 graph breaks; fullgraph OK; max_diff 5.96e-07,context-equivalent
SKILL_V2_3,both,mixed,yes,none,image_sizes tensor .item();tensor cumsum .item();.tolist() split_sizes;capture_outputs ContextVar;boolean indexing nonzero;torch_compilable_check callable f-string,modeling_mistral3;modeling_pixtral;baseline_mistral3,134,52,16->0 graph breaks; fullgraph OK; max_diff 5.96e-07,context-equivalent
SKILL_V4_1,model-only,restructure,yes,none,image_sizes tensor .item();tensor cumsum .item();.tolist() split_sizes;capture_outputs ContextVar;boolean indexing nonzero;PatchMerger per-image loop;position_ids_in_meshgrid;generate_block_attention_mask,modeling_mistral3;modeling_pixtral,258,56,16->0 graph breaks; fullgraph OK; max_diff 7.15e-07,context-equivalent
SKILL_V4_2,both,mixed,yes,none,image_sizes tensor .item();tensor cumsum .item();.tolist() split_sizes;boolean indexing nonzero;torch_compilable_check callable f-string,modeling_mistral3;modeling_pixtral;baseline_mistral3,92,62,16->0 graph breaks; fullgraph OK; max_diff 5.96e-07,context-equivalent
SKILL_V4_3,both,mixed,yes,none,image_sizes tensor .item();tensor cumsum .item();.tolist() split_sizes;boolean indexing nonzero;torch_compilable_check callable f-string,modeling_mistral3;modeling_pixtral;baseline_mistral3,82,51,16->0 graph breaks; fullgraph OK; max_diff 5.96e-07,context-equivalent
SKILL_V6_1,both,mixed,yes,none,image_sizes tensor .item();tensor cumsum .item();.tolist() split_sizes;capture_outputs ContextVar;boolean indexing nonzero;torch_compilable_check callable f-string,modeling_mistral3;modeling_pixtral;baseline_mistral3,177,62,16->0 graph breaks; fullgraph OK; max_diff 5.96e-07,context-equivalent
SKILL_V6_2,model-only,restructure,yes,none,image_sizes tensor .item();tensor cumsum .item();.tolist() split_sizes;boolean indexing nonzero;torch_compilable_check callable f-string,modeling_mistral3;modeling_pixtral,81,40,16->0 graph breaks; 1 subgraph; max_diff 5.96e-07,context-equivalent
SKILL_V6_3,both,mixed,yes,none,image_sizes tensor .item();tensor cumsum .item();.tolist() split_sizes;boolean indexing nonzero;torch_compilable_check callable f-string,modeling_mistral3;modeling_pixtral;baseline_mistral3,74,51,16->0 graph breaks; fullgraph OK; max_diff 5.96e-07,context-equivalent
